2025-12-26 11:29:45,481 | ERROR | noon_report_worker | mapping_mailbody.py:34 | Saved Unmapped keys for tenant orion : {}
2025-12-26 11:29:45,481 | INFO | noon_report_worker | mapping_mailbody.py:39 | Mapping done for tenant : 'orion',  IMO : '9238595' vessel : 'RIZHAO EXPRESS'
2025-12-26 11:29:45,481 | INFO | noon_report_worker | vessel_id.py:14 | Searching ID in DB
2025-12-26 11:29:45,482 | INFO | noon_report_worker | vessel_id.py:30 | Matched IMO: 9238595, vessel_id : (21,)
2025-12-26 11:29:45,513 | INFO | noon_report_worker | mapping_db_saver.py:47 | Inserted noon_parsing_report ID: 289
2025-12-26 11:29:45,513 | INFO | noon_report_worker | worker.py:101 | ✅ Report saved successfully. ID: 289
2025-12-26 11:29:46,515 | INFO | noon_report_worker | worker.py:105 | ✅ Message ACKed.
2025-12-26 11:29:46,515 | INFO | noon_report_worker | daily_limit.py:40 | 📊 Progress: 2/4
2025-12-26 11:31:07,632 | INFO | noon_report_worker | worker.py:112 | 🛑 Worker task cancelled.
2025-12-26 11:31:07,634 | INFO | noon_report_worker | main.py:30 | 👋 Microservice shutdown complete.
2025-12-26 14:28:01,861 | INFO | noon_report_worker | logger_config.py:30 | *** Logging system initialized ***
2025-12-26 14:28:02,787 | INFO | noon_report_worker | worker.py:20 | 🚀 Starting RabbitMQ Worker (Clean Refactored Mode)...
2025-12-26 14:28:02,790 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:28:17,813 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:28:17,841 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:28:17,843 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:28:17,869 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:28:17,871 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
